code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0356;Nieuwegein;Utrecht;61035;30300;30735;16;11;26;30;16;76;10;14
0358;Aalsmeer;Noord-Holland;30760;15220;15535;20;10;25;27;17;83;10;7
0361;Alkmaar;Noord-Holland;94865;46750;48115;16;11;28;28;17;77;10;13
0362;Amstelveen;Noord-Holland;85015;40455;44555;17;12;25;27;19;63;19;18
0363;Amsterdam;Noord-Holland;810935;399425;411510;16;13;35;25;12;49;16;35
0365;Graft-De Rijp;Noord-Holland;6450;3240;3210;17;12;19;31;21;92;5;3
0370;Beemster;Noord-Holland;8910;4455;4455;17;11;21;32;19;91;6;3
0373;Bergen (NH.);Noord-Holland;30075;14555;15520;14;10;16;31;28;88;9;3
0375;Beverwijk;Noord-Holland;40090;19855;20240;17;11;27;27;17;76;11;13
0376;Blaricum;Noord-Holland;9095;4395;4700;16;9;16;33;26;83;11;6
0377;Bloemendaal;Noord-Holland;22060;10490;11570;17;10;15;32;26;83;13;4
0381;Bussum;Noord-Holland;32630;15580;17050;19;10;24;28;20;80;12;8
0383;Castricum;Noord-Holland;34285;16795;17490;16;12;19;31;23;90;7;3
0384;Diemen;Noord-Holland;25930;12615;13315;15;17;25;28;15;59;14;27
0385;Edam-Volendam;Noord-Holland;28920;14450;14470;19;12;24;28;17;92;4;4
0388;Enkhuizen;Noord-Holland;18375;9235;9135;17;11;26;29;18;86;8;6
0392;Haarlem;Noord-Holland;155145;75780;79365;17;11;30;26;16;74;12;14
0393;Haarlemmerliede en Spaarnwoude;Noord-Holland;5535;2720;2815;16;13;21;33;17;87;8;5
0394;Haarlemmermeer;Noord-Holland;144060;71700;72360;19;12;26;29;14;76;11;13
0396;Heemskerk;Noord-Holland;39085;19150;19935;16;12;22;29;20;82;9;9
0397;Heemstede;Noord-Holland;26365;12360;14005;18;9;18;30;25;82;13;5
0398;Heerhugowaard;Noord-Holland;53305;26835;26470;20;11;27;26;15;81;8;11
0399;Heiloo;Noord-Holland;22635;11110;11525;16;10;19;30;24;88;8;4
0400;Den Helder;Noord-Holland;56595;27990;28605;15;11;24;30;19;81;10;9
0402;Hilversum;Noord-Holland;86425;42165;44255;17;11;27;27;19;76;12;12
0405;Hoorn;Noord-Holland;71700;35310;36390;18;11;27;28;16;79;8;13
0406;Huizen;Noord-Holland;41245;20045;21195;17;11;21;32;19;80;10;10
0415;Landsmeer;Noord-Holland;10445;5005;5440;16;11;20;32;20;86;8;6
0416;Langedijk;Noord-Holland;26935;13440;13490;18;12;23;30;17;90;6;4
0417;Laren;Noord-Holland;10860;5085;5775;16;8;16;30;30;82;13;5
0420;Medemblik;Noord-Holland;43320;22025;21290;18;11;23;30;18;89;7;4
0424;Muiden;Noord-Holland;6285;3055;3230;18;10;18;34;21;83;11;6
0425;Naarden;Noord-Holland;17205;8280;8920;21;9;19;29;22;81;12;7
0431;Oostzaan;Noord-Holland;9140;4465;4670;17;12;21;31;19;89;6;5
0432;Opmeer;Noord-Holland;11365;5745;5620;18;13;22;29;18;94;4;2
0437;Ouder-Amstel;Noord-Holland;13270;6450;6820;18;10;21;31;19;77;12;11
0439;Purmerend;Noord-Holland;79575;38875;40695;16;12;25;30;17;76;9;15
0441;Schagen;Noord-Holland;45975;23035;22945;17;11;22;29;20;90;7;3
0448;Texel;Noord-Holland;13550;6725;6825;16;10;20;32;21;90;7;3
0450;Uitgeest;Noord-Holland;13235;6625;6610;19;12;25;29;15;89;7;4
0451;Uithoorn;Noord-Holland;28415;14020;14400;18;11;24;29;18;79;11;10
0453;Velsen;Noord-Holland;67220;33340;33880;16;12;22;30;19;83;9;8
0457;Weesp;Noord-Holland;18170;8770;9400;16;10;25;30;19;75;11;14
0458;Schermer;Noord-Holland;5540;2825;2710;19;12;23;30;16;91;6;3
0473;Zandvoort;Noord-Holland;16575;7965;8605;13;9;22;31;24;80;13;7
0478;Zeevang;Noord-Holland;6340;3170;3170;16;13;19;32;20;89;8;3
0479;Zaanstad;Noord-Holland;150595;74455;76140;17;11;27;28;17;72;9;19
0482;Alblasserdam;Zuid-Holland;19800;9690;10105;20;12;24;25;19;86;7;7
0484;Alphen aan den Rijn;Zuid-Holland;106785;52980;53805;18;12;25;28;16;82;8;10
0489;Barendrecht;Zuid-Holland;47375;23330;24045;21;11;25;29;15;78;8;14
0491;Bergambacht;Zuid-Holland;9970;4930;5035;19;12;22;28;19;92;5;3
0498;Drechterland;Noord-Holland;19250;9735;9510;18;12;23;30;18;91;6;3
0501;Brielle;Zuid-Holland;16310;7990;8320;15;11;22;32;20;88;8;4
0502;Capelle aan den IJssel;Zuid-Holland;66175;31970;34205;17;12;25;29;17;68;11;21
0503;Delft;Zuid-Holland;100045;53390;46650;13;20;29;24;15;68;13;19
0505;Dordrecht;Zuid-Holland;118690;58555;60135;17;12;26;28;17;71;11;18
0512;Gorinchem;Zuid-Holland;35240;17380;17860;17;12;27;27;17;76;9;15
0513;Gouda;Zuid-Holland;70940;34730;36205;18;12;25;28;17;77;8;15
0518;'s-Gravenhage;Zuid-Holland;508940;251305;257630;18;12;31;25;14;50;16;34
0523;Hardinxveld-Giessendam;Zuid-Holland;17755;8835;8920;20;13;24;25;17;95;3;2
0530;Hellevoetsluis;Zuid-Holland;38950;19345;19605;16;11;25;31;17;83;9;8
0531;Hendrik-Ido-Ambacht;Zuid-Holland;28910;14205;14705;21;12;26;26;16;87;6;7
0532;Stede Broec;Noord-Holland;21485;10820;10665;18;12;24;28;18;89;7;4
0534;Hillegom;Zuid-Holland;20945;10390;10555;17;10;24;29;19;84;10;6
0537;Katwijk;Zuid-Holland;62780;31215;31565;20;13;25;26;16;90;5;5
0542;Krimpen aan den IJssel;Zuid-Holland;28825;14005;14815;18;12;21;27;22;87;7;6
0545;Leerdam;Zuid-Holland;20590;10100;10490;18;12;25;27;18;78;8;14
0546;Leiden;Zuid-Holland;121160;58890;62275;14;18;30;25;14;71;14;15
0547;Leiderdorp;Zuid-Holland;26810;12935;13875;17;11;22;30;20;79;10;11
0553;Lisse;Zuid-Holland;22335;11005;11330;17;11;23;29;20;88;8;4
0556;Maassluis;Zuid-Holland;32080;15710;16370;16;11;25;28;20;74;8;18
0568;Bernisse;Zuid-Holland;12365;6165;6200;15;11;22;31;21;91;6;3
0569;Nieuwkoop;Zuid-Holland;27105;13770;13335;17;12;22;31;18;92;5;3
0575;Noordwijk;Zuid-Holland;25690;12885;12805;15;11;24;30;20;84;11;5
0576;Noordwijkerhout;Zuid-Holland;15955;8015;7940;17;12;23;30;19;86;10;4
0579;Oegstgeest;Zuid-Holland;22910;11020;11890;18;11;22;29;20;78;15;7
0584;Oud-Beijerland;Zuid-Holland;23715;11595;12120;18;12;23;29;18;90;6;4
0585;Binnenmaas;Zuid-Holland;28710;14215;14495;17;10;23;30;21;92;5;3
0588;Korendijk;Zuid-Holland;10700;5350;5350;18;11;22;30;19;94;4;2
0589;Oudewater;Utrecht;9870;4855;5015;18;12;22;29;19;93;4;3
0590;Papendrecht;Zuid-Holland;32115;15790;16325;18;11;24;28;20;84;8;8
0597;Ridderkerk;Zuid-Holland;45250;21870;23385;15;11;22;29;23;83;8;9
0599;Rotterdam;Zuid-Holland;618355;304350;314005;17;13;31;25;15;51;12;37
0603;Rijswijk;Zuid-Holland;47635;22550;25080;14;9;25;28;23;69;15;16
0606;Schiedam;Zuid-Holland;76450;37605;38840;17;12;28;27;16;62;11;27
0608;Schoonhoven;Zuid-Holland;11900;5865;6035;18;12;24;27;19;84;6;10
0610;Sliedrecht;Zuid-Holland;24525;12060;12470;19;12;26;25;19;87;5;8
0611;Cromstrijen;Zuid-Holland;12735;6330;6405;16;11;21;31;21;94;4;2
0612;Spijkenisse;Zuid-Holland;72560;35525;37035;16;12;25;31;16;76;9;15
0613;Albrandswaard;Zuid-Holland;25070;12450;12615;19;10;25;30;15;81;8;11
0614;Westvoorne;Zuid-Holland;13965;6900;7060;14;10;18;33;24;90;7;3
0617;Strijen;Zuid-Holland;8680;4340;4340;15;12;22;32;19;92;5;3
0620;Vianen;Utrecht;19595;9655;9935;18;11;24;28;18;85;6;9
0622;Vlaardingen;Zuid-Holland;70980;34600;36380;16;11;26;27;20;72;9;19
0623;Vlist;Zuid-Holland;9695;4840;4855;18;13;21;29;20;94;4;2
0626;Voorschoten;Zuid-Holland;24950;12040;12910;18;11;22;29;21;79;13;8
0627;Waddinxveen;Zuid-Holland;25505;12700;12805;17;12;23;29;19;85;7;8
0629;Wassenaar;Zuid-Holland;25675;12140;13530;17;10;17;30;25;69;22;9
