PC4;X;Y
2242;86273.580396373;462724.06336304
2243;84743.4031374998;460836.710207398
2244;83603.0136442872;458485.190162191
2245;87380.6688697744;459794.150866767
2251;90609.9284929707;459585.358304377
2252;89436.4546212121;459497.484040485
2253;91369.4220220908;461521.207901972
2254;89546.6762486988;460384.049511524
2261;86525.0845852564;456948.166882692
2262;86359.358244699;456292.158658453
2263;87701.5107899065;457305.087075514
2264;87529.1056815751;456462.700022644
2265;87588.2689983276;455982.675803679
2266;89481.9224034273;456387.553338911
2267;84335.8128717791;452720.260049693
2271;85151.5476849775;454255.141130942
2272;85827.2498256235;455582.111829479
2273;84573.5307300781;454842.801342773
2274;84068.6662905907;454566.500134136
2275;84084.7247038354;453324.001050959
2281;83262.5418545816;452593.597286056
2282;82757.0746244205;451874.919961676
2283;81976.9692331219;451563.7622813
2284;81351.2492724517;450785.214507438
2285;80515.8749065075;450485.497107375
2286;81361.302519178;448982.062784344
2287;82186.82794867;449402.393732447
2288;82772.6741810371;449844.695870665
2289;83826.3602059792;450341.299373608
2291;78895.8881039761;448726.26098161
2292;79853.1231319383;448287.145202863
2295;77649.6052290908;447991.527112954
2311;93708.8344098119;463453.069771399
2312;93723.4583959923;464119.322402481
2313;94304.5679980157;463027.178847817
2314;95284.7809339901;462946.833950985
2315;94918.4335751218;464386.465681463
2316;94256.3945748829;464772.895037442
2317;94782.1240572972;465754.183656757
2318;94484.7137181563;466098.569878212
2321;93104.4230922179;462511.023731907
2322;93927.0209575079;461476.29356869
2323;92975.8459859812;460729.784792212
2324;92302.7210948275;462109.140383525
2331;90428.9085457285;463022.199774204
2332;91544.3359532846;463938.865270256
2333;92218.0404203931;464866.309608108
2334;93102.0505540321;465515.188679032
2341;92550.9952826086;466302.881956979
2342;91216.4975595441;465602.661532621
2343;92942.5208425449;467444.021823779
2351;97044.4347354598;462610.331593175
2352;96172.2373020706;464534.80953447
2353;96861.4372744742;464295.932274187
2355;100059.724454086;464779.396345914
2361;95646.878004541;468545.717615799
2362;97180.9309801931;467438.267744445
2371;103153.845066092;467993.757733717
2374;98235.1647406727;466491.080825382
2375;100196.882335535;467765.98805284
2376;102207.189740777;469100.923275243
2377;104083.102853989;469408.29692766
2381;94832.5333171612;458995.548932645
2382;96363.2079074297;461613.725725703
2391;100645.686878173;456988.104141022
2394;100205.211312238;460285.338485507
2396;100792.95431025;461298.806274032
2401;104329.332822302;462505.686045863
2402;105977.071391735;462515.073054782
2403;106971.236902554;462019.582123656
2404;104364.668593299;460689.627332474
2405;105394.820511739;460091.254552381
2406;106075.313850854;460788.836515122
2407;107260.496301323;458074.791949338
2408;104137.602491776;459505.717602303
